,0
156,Longest Valid Parentheseshttps://leetcode.com/problems/longest-valid-parenthesesKhó·35 phút
157,Design In-Memory File Systemhttps://leetcode.com/problems/design-in-memory-file-systemKhó·40 phút
158,Employee Free Timehttps://leetcode.com/problems/employee-free-timeKhó·35 phút
159,Word Search IIhttps://leetcode.com/problems/word-search-iiKhó·40 phút
160,Alien Dictionaryhttps://leetcode.com/problems/alien-dictionaryKhó·45 phút
161,Bus Routeshttps://leetcode.com/problems/bus-routesKhó·45 phút
162,Sliding Window Maximumhttps://leetcode.com/problems/sliding-window-maximumKhó·35 phút
163,Palindrome Pairshttps://leetcode.com/problems/palindrome-pairsKhó·40 phút
164,Reverse Nodes in k-Grouphttps://leetcode.com/problems/reverse-nodes-in-k-groupKhó·35 phút
165,Sudoku Solverhttps://leetcode.com/problems/sudoku-solverKhó·40 phút
166,First Missing Positivehttps://leetcode.com/problems/first-missing-positiveKhó·35 phút
167,N-Queenshttps://leetcode.com/problems/n-queensKhó·40 phút
168,"Smallest Range Covering Elements from K
                                      Listshttps://leetcode.com/problems/smallest-range-covering-elements-from-k-listsKhó·40 phút"
